CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
10985	11587	7	0.8494	0.000
9567	11480	7	0.8154	-67.988
10072	11555	7	0.9056	0.000
11625	11632	7	0.8979	-203.964
9713	10265	7	0.817	135.975
10985	11593	7	0.8449	-135.975
11576	11582	7	0.9536	-67.987
11594	11605	7	0.9187	203.962
9692	11541	7	0.911	67.987
9221	10581	7	0.8728	-67.987
9063	10049	7	0.9129	0.000
9645	10581	7	0.8805	67.987
9293	10592	7	0.8596	-351.890
11044	11187	7	0.8807	-351.890
9643	10049	7	0.9205	0.000
9645	11565	7	0.8609	67.987
11583	11594	7	0.8623	-339.937
11583	11587	7	0.946	-67.987
9221	11150	7	0.8718	67.988
9833	11044	7	0.8658	203.962
10656	11593	7	0.8468	-135.975
9561	9787	7	0.8723	0.000
11564	11587	7	0.9091	-339.936
9839	11044	7	0.8659	0.000
9483	10366	7	0.9258	0.000
10581	10885	7	0.8561	67.988
10592	10789	7	0.8549	419.877
9031	9567	7	0.822	0.000
9787	11185	7	0.9289	0.000
11480	11482	7	0.8952	67.988
11583	11605	7	0.9092	-135.975
9645	11576	7	0.8954	0.000
10009	11551	7	0.9064	419.877
10183	11237	7	0.8831	-67.987
9708	11533	7	0.8732	0.000
9713	11593	7	0.8617	-67.986
11555	11576	7	0.8999	-203.962
9708	9787	7	0.8683	0.000
9692	11237	7	0.8841	67.987
10581	11551	7	0.9047	203.962
11634	11653	7	0.8584	-407.924
9053	10405	7	0.8481	67.988
11625	11634	7	0.915	135.973
9063	11541	7	0.909	0.000
9069	10405	7	0.8652	283.903
9483	10593	7	0.9147	0.000
11576	11593	7	0.8848	-339.936
11545	11564	7	0.9174	-203.962
10526	10581	7	0.8616	-67.988
8260	9052	7	0.7063	353.887
9787	11482	7	0.8563	-57.959
10072	10592	7	0.8797	-351.890
9221	10671	7	0.8656	0.000
9645	11587	7	0.8713	-203.961
10183	10366	7	0.9051	-67.987
10049	11541	7	0.9397	0.000
11596	11622	7	0.9065	-497.894
10366	10593	7	0.944	0.000
10495	10592	7	0.8665	-419.877
11622	11646	7	0.8941	-135.975
9768	11499	7	0.8323	-57.959
11075	11576	7	0.8991	-67.987
10593	11551	7	0.8962	-135.975
9645	11582	7	0.8757	-67.987
10405	11555	7	0.9012	67.987
8260	11559	7	0.7403	285.900
9833	10581	7	0.8566	67.987
9708	10703	7	0.8848	0.000
9645	11583	7	0.8801	-135.974
11565	11582	7	0.8903	-135.974
9101	10592	7	0.8497	-351.890
10593	11541	7	0.9243	0.000
11646	11653	7	0.9084	-203.963
11642	11653	7	0.8984	67.989
9063	11545	7	0.9176	-67.987
9643	10183	7	0.8748	67.987
9221	9706	7	0.8629	67.987
11482	11533	7	0.8724	57.959
11596	11605	7	0.9271	135.975
11625	11637	7	0.8879	-135.975
9221	11187	7	0.8847	-283.903
11188	11499	7	0.8499	-57.959
10049	11551	7	0.9166	-135.975
11582	11593	7	0.8826	-271.949
10821	11076	7	0.8541	203.961
9279	9567	7	0.7352	0.000
7990	11187	7	0.8551	-351.890
9063	9483	7	0.9523	0.000
11185	11482	7	0.8962	-57.959
10265	11605	7	0.858	-135.975
9483	10049	7	0.9282	0.000
10366	11545	7	0.9213	-67.987
10072	11044	7	0.8903	0.000
9643	11545	7	0.8963	-67.987
11637	11642	7	0.8804	-203.965
9221	11075	7	0.8728	-67.987
10108	11551	7	0.9011	0.000
9708	11185	7	0.8942	0.000
11576	11596	7	0.8843	-407.924
11533	11541	7	0.93	-67.987
11622	11625	7	0.8695	-67.986
9706	10671	7	0.8709	-67.987
11075	11564	7	0.9172	67.988
10593	11533	7	0.8944	67.987
11632	11653	7	0.9229	-67.988
11594	11625	7	0.8534	-497.892
