"CLUSTERID1","CLUSTERID2","ComponentIndex","Cosine","DeltaMZ","ChemProp2","ChemProp_spearman","ChemProp_log","ChemProp_sqrt","abs_ChemProp2","abs_ChemProp_spearman","abs_ChemProp_log","abs_ChemProp_sqrt","Sign_ChemProp2","Compound1_LibraryID","Compound1_MQScore","Compound1_MS2 Verification Comment","Compound1_RTConsensus","Compound1_RTMean","Compound1_RTStdErr","Compound1_Smiles","Compound1_SpectrumID","Compound1_SumPeakIntensity","Compound1_UniqueFileSourcesCount","Compound1_cluster index","Compound1_componentindex","Compound1_neutral M mass","Compound1_number of spectra","Compound1_parent mass","Compound1_precursor charge","Compound1_precursor mass","Compound1_sum(precursor intensity)","Compound2_LibraryID","Compound2_MQScore","Compound2_MS2 Verification Comment","Compound2_RTConsensus","Compound2_RTMean","Compound2_RTStdErr","Compound2_Smiles","Compound2_SpectrumID","Compound2_SumPeakIntensity","Compound2_UniqueFileSourcesCount","Compound2_cluster index","Compound2_componentindex","Compound2_neutral M mass","Compound2_number of spectra","Compound2_parent mass","Compound2_precursor charge","Compound2_precursor mass","Compound2_sum(precursor intensity)"
7194,9980,9,0.9559,-108.148,0.434516608845614,0.430595862653404,0.450930184710105,0.442462003511677,0.434516608845614,0.430595862653404,0.450930184710105,0.442462003511677,1,"N/A","N/A",NA,5.9655,5.9655,0,"N/A","N/A",14183692.3723,13,7194,9,NA,13,618.3816,1,618.3816,14183692.3723,"N/A","N/A",NA,7.1585,7.1585,0,"N/A","N/A",1164136.8813,27,9980,9,NA,27,726.5294,1,726.5294,1164136.8813
7341,8014,63,0.8743,46.042,0.425758254056357,0.147841604805567,0.315682411349898,0.384338996525113,0.425758254056357,0.147841604805567,0.315682411349898,0.384338996525113,1,"N/A","N/A",NA,5.9922,5.9922,0,"N/A","N/A",4480995.0557,37,7341,63,NA,37,1076.6822,1,1076.6822,4480995.0557,"N/A","N/A",NA,6.1508,6.1508,0,"N/A","N/A",21516038.6177,48,8014,63,NA,48,1030.6406,1,1030.6406,21516038.6177
4994,5298,141,0.9371,-13.946,0.424702238106726,0.386110713184295,0.351705723741504,0.415044235102858,0.424702238106726,0.386110713184295,0.351705723741504,0.415044235102858,1,"N/A","N/A",NA,5.1248,5.1248,0,"N/A","N/A",12937163.8,74,4994,141,NA,74,292.1904,1,292.1904,12937163.8,"N/A","N/A",NA,5.2676,5.2676,0,"N/A","N/A",2636110.3115,54,5298,141,NA,54,306.1365,1,306.1365,2636110.3115
562,1657,295,0.759,15.995,0.418287044840256,0.228368084979264,0.242571922952836,0.344921710863095,0.418287044840256,0.228368084979264,0.242571922952836,0.344921710863095,1,"N/A","N/A",NA,1.6214,1.6214,0,"N/A","N/A",5614506.715,74,562,295,NA,74,361.0475,1,361.0475,5614506.715,"N/A","N/A",NA,2.4649,2.4649,0,"N/A","N/A",2744773.724,74,1657,295,NA,74,345.0529,1,345.0529,2744773.724
5431,5489,95,0.9035,33.984,0.411907300338102,0.499199169886644,0.169923501515931,0.298048262241212,0.411907300338102,0.499199169886644,0.169923501515931,0.298048262241212,1,"N/A","N/A",NA,5.3217,5.3217,0,"N/A","N/A",2722944.96,74,5431,95,NA,74,360.134,1,360.134,2722944.96,"N/A","N/A",NA,5.3467,5.3467,0,"N/A","N/A",8195524.564,74,5489,95,NA,74,326.1497,1,326.1497,8195524.564
1758,2725,331,0.7323,15.995,0.395764180463476,0.280670072695603,0.243471471475935,0.337964624798674,0.395764180463476,0.280670072695603,0.243471471475935,0.337964624798674,1,"N/A","N/A",NA,2.5051,2.5051,0,"N/A","N/A",4666962.772,74,1758,331,NA,74,232.0968,1,232.0968,4666962.772,"N/A","N/A",NA,3.0568,3.0568,0,"N/A","N/A",2277699.376,74,2725,331,NA,74,216.102,1,216.102,2277699.376
179,783,163,0.724,-26.016,0.376102158044341,0.454146962645837,0.106490246500534,0.257377428058552,0.376102158044341,0.454146962645837,0.106490246500534,0.257377428058552,1,"N/A","N/A",NA,0.9261,0.9261,0,"N/A","N/A",10807059.925,74,179,163,NA,74,155.0815,1,155.0815,10807059.925,"N/A","N/A",NA,1.782,1.782,0,"N/A","N/A",29064179.98,74,783,163,NA,74,181.0971,1,181.0971,29064179.98
1192,1444,311,0.7971,0,0.371601617018056,0.2204715911995,0.350525073077586,0.364138872154154,0.371601617018056,0.2204715911995,0.350525073077586,0.364138872154154,1,"N/A","N/A",NA,2.1908,2.1908,0,"N/A","N/A",1545043.7172,74,1192,311,NA,74,541.2884,2,271.1442,1545043.7172,"N/A","N/A",NA,2.3304,2.3304,0,"N/A","N/A",1857144.815,74,1444,311,NA,74,541.2885,2,271.1442,1857144.815
525,585,208,0.7098,0.018,0.353574618975418,0.383047800658521,0.263937068055735,0.323060141183895,0.353574618975418,0.383047800658521,0.263937068055735,0.323060141183895,1,"N/A","N/A",NA,1.5711,1.5711,0,"N/A","N/A",1125118.6687,74,525,208,NA,74,298.1339,1,298.1339,1125118.6687,"N/A","N/A",NA,1.6255,1.6255,0,"N/A","N/A",5287377.8543,74,585,208,NA,74,298.1158,1,298.1158,5287377.8543
5211,6132,9,0.9664,-42.011,0.353295594963254,0.402077902781897,0.391504654687829,0.374156674548507,0.353295594963254,0.402077902781897,0.391504654687829,0.374156674548507,1,"N/A","N/A",NA,5.2548,5.2548,0,"N/A","N/A",244308280.5,80,5211,9,NA,80,488.3002,1,488.3002,244308280.5,"N/A","N/A",NA,5.5726,5.5726,0,"N/A","N/A",1355655.1421,73,6132,9,NA,73,530.3113,1,530.3113,1355655.1421
1263,1514,163,0.7277,0,0.345840614187666,0.168816316787392,0.256687383126059,0.312251376468529,0.345840614187666,0.168816316787392,0.256687383126059,0.312251376468529,1,"N/A","N/A",NA,2.1981,2.1981,0,"N/A","N/A",3135282.607,74,1263,163,NA,74,181.0973,1,181.0973,3135282.607,"N/A","N/A",NA,2.3457,2.3457,0,"N/A","N/A",2161277.3024,74,1514,163,NA,74,181.0973,1,181.0973,2161277.3024
