"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","t0_BS_1.mzML Peak area","t0_BS_2.mzML Peak area","t0_BS_3.mzML Peak area","t0_BS_C.mzML Peak area","t1_BS_1.mzML Peak area","t1_BS_2.mzML Peak area","t1_BS_3.mzML Peak area","t1_BS_C.mzML Peak area","t2_BS_1.mzML Peak area","t2_BS_2.mzML Peak area","t2_BS_3.mzML Peak area","t2_BS_C.mzML Peak area","t3_BS_1.mzML Peak area","t3_BS_2.mzML Peak area","t3_BS_3.mzML Peak area","t3_BS_C.mzML Peak area","t4_BS_1.mzML Peak area","t4_BS_2.mzML Peak area","t4_BS_3.mzML Peak area","t4_BS_C.mzML Peak area","t5_BS_1.mzML Peak area","t5_BS_2.mzML Peak area","t5_BS_3.mzML Peak area","t5_BS_C.mzML Peak area","t6_BS_1.mzML Peak area","t6_BS_2.mzML Peak area","t6_BS_3.mzML Peak area","t6_BS_C.mzML Peak area","t7_BS_1.mzML Peak area","t7_BS_2.mzML Peak area","t7_BS_3.mzML Peak area","t7_BS_C.mzML Peak area","t8_BS_1.mzML Peak area","t8_BS_2.mzML Peak area","t8_BS_3.mzML Peak area","t8_BS_C.mzML Peak area","t9_BS_1.mzML Peak area","t9_BS_2.mzML Peak area","t9_BS_3.mzML Peak area","t9_BS_C.mzML Peak area"
108,265.1181876,0.54901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35473.42,27464.316,35314.42,3766,36364.777,35697.438,32684.512,3766,33134.277,37436.145,35960.246,3766,36894.28,40033.402,40171.53,37798.055,35206.04,39278.254,40426.363,42285.84,31159.912,41774.797,32958.598,38872.203,45100.03,47098.586,46383.723,46732.156,35828.97,41351.047,40547.613,42641.406,38846.363,45271.19,42824.9,48268.105,45535.582,71059.81,49868.45,46699.38
109,189.1133849,0.549488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
110,179.0794146,0.5433194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9423.495,11071.411,8457.566,5721.444,16944.463,25053.395,14678.995,3766
111,221.093384,0.5519922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45687.055,36447.406,45490.04,3766,51360.582,50253.293,47208.355,3766,48846.258,55236.36,52553.945,3766,53516.95,58013.594,56317.773,54723.797,49444.836,56083.066,58218.863,60617.594,42145.61,57809.23,47599.73,54903.133,62529.027,64623.867,65943.836,61305.1,51394.336,57479.91,56466.164,57022.016,46192.44,60527.168,60236.277,49182.117,59277.105,97590.28,64755.258,59760.016
112,181.1334941,0.6135922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
113,157.0793905,0.55112875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
114,252.1263308,0.5586749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
115,201.1232948,0.564631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290444.1,1281849.5,1434758.8,3766,1175560.6,1191561.6,1195682.1,3766,1269569.8,1298106.8,1286099.1,3766,1291443.5,1299682.4,1311254.2,1343145.4,1292844,1295265.2,1341295.2,1381338.9,1312641.9,1414273.9,1356285,1374716.5,1318416.9,1396862.6,1405849.9,1443493.1,1232982.5,1328025.5,1362930.5,1424862.4,1295535.4,1426069.1,1408970.5,1449371.5,1354796,2112290,1488333.5,1453908.8
116,310.1142451,0.56717813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
118,208.1333122,0.57563466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
121,261.1231619,0.5908772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
122,183.1127524,0.5971823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
123,292.120735,0.6694898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
124,188.1281651,0.60682803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
125,206.1386517,0.60655636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
129,179.1178227,0.608828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4475.3403,3766,8390.32,3766,10125.459,8113.112,13478.307,3766,12575.756,7877.0347,9386.046,3766,19003.56,15025.98,6527.831,3766,9581.341,17393.512,5173.5757,10143.871,22005.46,19128.26,13558.101,7144.8457,19383.764,6749.8584,8834.502,11549.139,3766,4559.381,8915.659,13332.08,11809.263,3766,11425.586,3766,18692.13,23626.656,14957.485,16943.758
130,152.0706067,0.63133794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13479.447,15689.133,10653.574,3766,27046.174,20524.035,25280.863,3766,24197.99,23055.53,24863.936,3766,26332.234,28997.203,27276.217,26598.314,10524.184,12817.076,18289.861,26719.062,13881.676,22031.285,15500.063,5621.7554,19855.889,23201.54,31675.36,22551.367,41506.375,44641.09,45953.74,46331.51,43875.13,52272.68,52113.8,28385.012,60182.84,89263.016,64830.586,61569.273
